,LiquidityData_1,LiquidityData_2,LiquidityData_3,LiquidityData_4,LiquidityData_5,LiquidityData_6,LiquidityData_7,LiquidityData_8,LiquidityData_9,LiquidityData_10,LiquidityData_11,LiquidityData_12,LiquidityData_13,LiquidityData_14,LiquidityData_15,LiquidityData_16,LiquidityData_17,LiquidityData_18,LiquidityData_19,LiquidityData_20,LiquidityData_21,LiquidityData_22,LiquidityData_23,LiquidityData_24,LiquidityData_25,id,Color
26,0.2152288899969348,0.21852574680374146,0.21615560944873394,0.21348801871036294,0.21748842312358488,0.2183801288107857,0.2143074062482532,0.20892379451767426,0.20734457556485555,0.20986458492160165,0.21028507732822665,0.21079195883629048,0.2159147671053285,0.21297459257340215,0.2141807676790984,0.21585651990814625,0.22061871912496572,0.2209158452768844,0.21827148797109736,0.22109124133132094,0.22494144651135933,0.2217519216184616,0.22069103727427636,0.22179184385473266,0.22480466376741445,5bb7eb2ae815641f34164153,orange
27,0.2152288899969348,0.21852574680374146,0.21615560944873394,0.21348801871036294,0.21748842312358488,0.2183801288107857,0.2143074062482532,0.20892379451767426,0.20734457556485555,0.20986458492160165,0.21028507732822665,0.21079195883629048,0.2159147671053285,0.21297459257340215,0.2141807676790984,0.21585651990814625,0.22061871912496572,0.2209158452768844,0.21827148797109736,0.22109124133132094,0.22494144651135933,0.2217519216184616,0.22069103727427636,0.22179184385473266,0.22480466376741445,5bb7eb2ae815641f34164154,orange
28,0.2152288899969348,0.21852574680374146,0.21615560944873394,0.21348801871036294,0.21748842312358488,0.2183801288107857,0.2143074062482532,0.20892379451767426,0.20734457556485555,0.20986458492160165,0.21028507732822665,0.21079195883629048,0.2159147671053285,0.21297459257340215,0.2141807676790984,0.21585651990814625,0.22061871912496572,0.2209158452768844,0.21827148797109736,0.22109124133132094,0.22494144651135933,0.2217519216184616,0.22069103727427636,0.22179184385473266,0.22480466376741445,5bb7eb2ae815641f34164155,orange
29,0.1509882800012958,0.14460338057735225,0.14919353705652086,0.1543597603919043,0.14661232659957574,0.14488539350476215,0.15277288315542234,0.16319912288968752,0.16625753724402512,0.16137712925754485,0.16056277732109148,0.15958111883893875,0.14965996742634935,0.15535409361236766,0.1530181393417317,0.14977277259731328,0.14054999926563574,0.1399745661463364,0.14509579416071738,0.13963488315961353,0.13217833461151218,0.13835536832716272,0.14040994340730412,0.13827805242346827,0.1324432366422028,5bb7eb2ae815641f34164156,blue
30,0.6453991485812796,0.6275837959625343,0.6403913988426904,0.6548063620732624,0.6331892220470429,0.6283706775422209,0.6503786059484643,0.6794702368450996,0.6880039233699694,0.674386451358361,0.6721142202799403,0.6693751650733462,0.6416928479272954,0.6575807827441122,0.6510629276818097,0.6420076005591699,0.6162739204936017,0.6146683284163987,0.6289577442488632,0.6137205339743496,0.5929150313527953,0.6101503903577494,0.6158831321135778,0.6099346610257903,0.5936541695557367,5bb7eb2ae815641f34164157,gray
31,0.1509882800012958,0.14460338057735225,0.14919353705652086,0.1543597603919043,0.14661232659957574,0.14488539350476215,0.15277288315542234,0.16319912288968752,0.16625753724402512,0.16137712925754485,0.16056277732109148,0.15958111883893875,0.14965996742634935,0.15535409361236766,0.1530181393417317,0.14977277259731328,0.14054999926563574,0.1399745661463364,0.14509579416071738,0.13963488315961353,0.13217833461151218,0.13835536832716272,0.14040994340730412,0.13827805242346827,0.1324432366422028,5bb7eb2ae815641f34164158,blue
32,0.6453991485812796,0.6275837959625343,0.6403913988426904,0.6548063620732624,0.6331892220470429,0.6283706775422209,0.6503786059484643,0.6794702368450996,0.6880039233699694,0.674386451358361,0.6721142202799403,0.6693751650733462,0.6416928479272954,0.6575807827441122,0.6510629276818097,0.6420076005591699,0.6162739204936017,0.6146683284163987,0.6289577442488632,0.6137205339743496,0.5929150313527953,0.6101503903577494,0.6158831321135778,0.6099346610257903,0.5936541695557367,5bb7eb2ae815641f34164159,gray
33,0.2152288899969348,0.21852574680374146,0.21615560944873394,0.21348801871036294,0.21748842312358488,0.2183801288107857,0.2143074062482532,0.20892379451767426,0.20734457556485555,0.20986458492160165,0.21028507732822665,0.21079195883629048,0.2159147671053285,0.21297459257340215,0.2141807676790984,0.21585651990814625,0.22061871912496572,0.2209158452768844,0.21827148797109736,0.22109124133132094,0.22494144651135933,0.2217519216184616,0.22069103727427636,0.22179184385473266,0.22480466376741445,5bb7eb2ae815641f3416415a,orange
34,0.6453991485812796,0.6275837959625343,0.6403913988426904,0.6548063620732624,0.6331892220470429,0.6283706775422209,0.6503786059484643,0.6794702368450996,0.6880039233699694,0.674386451358361,0.6721142202799403,0.6693751650733462,0.6416928479272954,0.6575807827441122,0.6510629276818097,0.6420076005591699,0.6162739204936017,0.6146683284163987,0.6289577442488632,0.6137205339743496,0.5929150313527953,0.6101503903577494,0.6158831321135778,0.6099346610257903,0.5936541695557367,5bb7eb2ae815641f3416415b,gray
35,0.1509882800012958,0.14460338057735225,0.14919353705652086,0.1543597603919043,0.14661232659957574,0.14488539350476215,0.15277288315542234,0.16319912288968752,0.16625753724402512,0.16137712925754485,0.16056277732109148,0.15958111883893875,0.14965996742634935,0.15535409361236766,0.1530181393417317,0.14977277259731328,0.14054999926563574,0.1399745661463364,0.14509579416071738,0.13963488315961353,0.13217833461151218,0.13835536832716272,0.14040994340730412,0.13827805242346827,0.1324432366422028,5bb7eb2ae815641f3416415c,blue
