,10Y,3Y,5Y,7Y
HY,[-1.8963852   0.02133231],[10.32355353 -0.0498456 ],[ 0.39880907 -0.00164522],[0.9829938  0.00549241]
IG,[-1.24910436  0.01557725],[13.36039449 -0.06856142],[ 1.38084343 -0.00423437],[14.88419841 -0.07656416]
IG HVOL,[-115.91484409    0.69533841],[2.69653978e+00 1.76827321e-04],[-72.68225579   0.43897483],[ 6.67444490e+00 -2.41993782e-03]
