,10Y,3Y,5Y,7Y
HY,[0.01059121],[0.00862683],[0.00061363],[0.0110617]
IG,[0.00850235],[0.00905985],[0.0035867],[0.00985209]
IG HVOL,[0.03879874],[0.01611322],[0.02730379],[0.03702565]
