,10Y,3Y,5Y,7Y
HY,[0.1907361],[0.11629723],[0.0078939],[0.19055293]
IG,[0.03894589],[0.04412035],[0.0668026],[0.02898793]
IG HVOL,[0.00952035],[0.00419017],[0.00353322],[0.00757786]
