,10Y,3Y,5Y,7Y
HY,[0.26785145],[0.24319793],[0.01241622],[0.2962295]
IG,[0.08226662],[0.05660149],[0.09725947],[0.0587813]
IG HVOL,[0.05230095],[0.00419017],[0.03686999],[0.00757786]
