,10Y,3Y,5Y,7Y
HY,[0.01138916],[0.00666886],[0.00051173],[0.01092755]
IG,[0.00886273],[0.00764797],[0.00321179],[0.00799471]
IG HVOL,[0.06610264],[0.01611322],[0.0445771],[0.03702565]
