2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
6.536,10.5013,8.4786,6.2709,-5.4455,-11.4513,-11.5058,-8.4028,-3.7155,-4.7415,-3.3241,-4.5746,3.098,8.7293,6.8442,1.5595,-8.6864,-10.7737,-8.9061,-6.7236,0.5949,2.1818,3.3842,5.501,2.2589,1.7793,0.3812,0.3046,1.3046,-36.999
-2.1371,0.327,-0.579,-1.7125,12.0372,0.9425,-1.5892,-0.2821,-7.9238,-3.0004,-1.8105,-0.5529,-0.7485,4.0676,2.9612,0.521,4.4058,-1.436,0.7751,0.2739,0.7979,2.7204,2.2715,1.1871,2.0813,-0.4356,-2.3679,-0.9992,3.8758,0.9728
7.5159,-0.6821,-0.1278,-0.8623,1.0525,-0.6543,-1.3206,-0.7052,-3.0528,-5.4176,-2.2947,-0.0784,6.4559,6.4102,8.2786,0.3885,-1.0499,0.8344,-4.1927,1.2221,-2.2146,2.576,6.9313,12.229,7.2278,6.8234,3.0801,-5.5535,-3.2816,-11.4348
1.1876,0.4121,-0.0145,-0.438,1.0635,1.7614,1.9059,0.9388,-1.2867,-2.6025,-3.1567,-2.3937,-0.1427,0.1971,0.3199,0.3681,0.7674,0.792,0.6164,0.264,-0.3335,-1.0285,-0.7782,-0.5974,-1.3486,-0.2722,0.4973,-0.1728,1.8361,-4.0799
6.4392,-10.3678,-8.5924,-7.3858,-6.3446,-4.543,-5.9159,-4.7425,-1.4295,-1.8768,-0.1942,0.6374,1.1786,3.8724,2.6835,5.2019,5.6062,5.3726,5.643,4.6189,0.4299,2.367,2.803,-0.192,-6.3956,-3.6717,-4.6602,-6.0596,-6.5324,-18.2771
0.277,-0.0379,0.0454,0.2119,0.3014,0.3169,0.3042,0.1441,0.3505,0.4317,0.465,0.5188,0.1477,-0.1195,-0.1028,-0.1654,0.0874,0.4361,0.2987,0.2763,0.12,0.0395,0.1111,0.2328,-0.3217,0.816,0.4535,0.0786,-0.0203,-3.9348
3.9404,9.715,8.4247,5.6073,4.625,-0.7577,-0.0068,1.5574,0.3149,-2.6396,-1.9217,0.5131,-7.3089,-4.8904,-5.4704,0.4148,5.095,1.9893,3.0723,3.1906,0.5189,10.1793,7.9763,-0.0615,1.6007,-3.972,-0.9735,-0.673,3.3689,-12.2716
1437.6083,1453.038,-1252.6162,-26699.33,7835.0775,1336865.363,1336163.913,1362017.679,-7835.0775,-1336865.363,-1336163.913,-1335755.396,13.7179,12.1611,11.7167,11.2931,-0.6264,1.3066,1.6482,2.1283,1.5691,-0.1224,-1.2287,-1.3022,-2.4923,0.2407,0.5444,-0.5668,0.8548,-13.586
19.4615,15.0606,-7.3716,7.5714,13.2344,-0.1916,-9.8613,-13.0193,-8.9574,-4.3315,-6.8422,-4.7349,-4.8023,-3.0853,0.5938,0.5449,-0.5789,3.2057,0.3522,0.9554,0.6635,-3.7501,2.6289,-2.5692,5.3581,2.149,-3.8756,-0.0189,-0.9098,-8.4466
-3.1138,-1.3094,0.2941,-0.6554,0.12,0.2859,-1.3395,-0.616,-9.7174,-5.743,-3.8301,9.193,10.458,6.5062,4.0712,-10.8759,-5.8394,-5.3836,-3.9306,0.32,1.108,0.3457,5.2125,1.2672,3.8221,5.0731,-0.3436,-0.2082,-0.5618,-3.6026
-0.0655,4.68,168.188,87.5838,6.0247,4.3361,-163.2703,-120.0376,-6.1772,-5.7517,-4.6944,-2.9502,-0.3046,3.3882,2.2231,2.2674,0.9242,19.1871,12.9768,8.9301,23.8794,-10.525,-6.5506,-7.4117,-30.1571,-8.7105,-6.592,-3.67,7.267,-2.1506
2081.564,-6.8502,-144.4605,1203.1399,180.6483,24.0105,-196.5886,-1279.8018,291.958,277.8743,561.0517,-268.6939,-592.8289,210.6069,2882.3336,3428.3571,-58.7206,18.6573,-2734.7632,-2733.3057,29.8095,-10.5091,-8.5319,-4.1224,-7.6112,-4.1763,-2.3712,-6.0532,-12.6545,-20.4203
3.7202,-5.4601,-4.3466,4.5026,-15.0608,-0.5989,1.2272,-7.864,10.8275,3.9892,2.3942,5.4263,-23.1914,-18.3503,44.3929,34.8483,-3.0326,-5.3612,-66.6097,-44.9679,-26.6529,-20.8461,-2.9557,8.4705,216.2368,453.5337,329.3116,39.1527,-152.8656,-435.9396
-38.0442,-47.1777,-29.9288,-14.1314,20.7941,30.6556,6.5006,8.0802,0.1393,-9.4635,-13.6426,-18.9448,-15.2236,-2.6607,-1.7814,25.1791,-5.1925,0.8738,10.9033,-40.7733,-2.8894,-0.56,2.0781,-27.4939,16.8136,8.4079,3.4947,142.0076,14.9058,7.8738
14.3981,14.1953,10.7171,-11.6796,-61.1467,-64.8163,-7.3461,-7.3188,18.7387,19.7446,-0.744,-1.2904,30.0034,18.0945,-5.503,0.3743,-4.4076,-10.407,-18.0992,-27.5053,1.2778,22.3404,21.9264,28.4189,22.7723,25.8741,17.2521,20.7258,-0.8028,-25.0256
-4.9914,-4.5029,0.532,0.2289,2.2201,2.5482,-0.1092,0.1989,-4.2949,-3.9753,-2.5557,-2.153,-1.1489,-1.1803,-1.0307,0.9992,-0.4828,1.5112,1.0264,-0.2223,1.9699,1.0497,0.1759,-0.4584,0.9767,-7.3616,-5.0852,-2.4334,-0.4219,2.2986
31.6427,32.8609,20.4408,4.6788,68.2871,28.2751,14.4009,5.2997,-54.417,-0.8989,2.1922,5.3597,27.2928,-6.5052,-10.0592,-9.9267,-49.7067,-30.1062,-15.4401,-7.4897,0.6268,1.8455,1.5377,-1.4052,1.6996,2.0227,0.8962,0.9218,-0.5823,-6.2322
14.6299,0.5613,12.713,11.9121,8.094,6.4629,-6.9413,-8.3658,0.8861,0.3483,2.9365,-1.3826,33.6663,16.0292,7.2788,3.0592,-33.145,-14.6877,-9.556,-8.2467,-0.8972,-2.892,-4.5674,-2.1558,-20.2371,-17.3866,-11.8205,-5.1915,-0.102,-0.6119
4.0404,-4.0933,1.8643,2.2034,-4.8464,2.2836,-0.3071,5.9734,0.9785,-2.7851,7.9589,-3.1082,-7.4626,-2.7116,-10.8361,-2.3819,12.7286,0.4459,-4.1719,-0.3197,-15.4433,-6.5968,-3.205,-0.9864,-3.4837,8.2626,5.0945,-4.5456,7.971,0.1984
