,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
601311.SH,-0.105390914,-0.119141732,-0.122645924,4.147508495,-0.110087501,1.741914804,1.765400329,2.016460996,0.807535524,0.96234458,1.910052018,2.146904245,0.648382561,0.870352691,1.368513794,2.068159881,0.654749272,1.115800411,1.681972593,2.355724817,0.371691356,0.726480059,1.187873124,1.929603713,0.327582962,0.560298835,0.886442381,1.355686498,0.276950121,-0.061077394
601313.SH,-0.105390914,-0.119141732,-0.122645924,4.426248073,-0.110087501,1.845853322,-0.090243216,3.311763565,0.315926259,0.551867761,1.31776832,1.480538889,0.32219991,0.708840962,1.423708538,1.619911454,0.397036821,0.890588806,1.547400578,2.100644254,0.266434306,0.770357877,1.347226669,1.839369211,0.287770643,0.674761881,0.953696345,1.140579958,0.049410582,-0.075563616
601318.SH,1.545822466,1.94987881,2.29594747,2.714243515,1.944971045,2.149336531,1.941813511,2.0654701,2.123420593,3.762802525,3.024978858,2.936220836,0.0666655,0.5639971,3.29597163,2.060121493,3.061398974,2.649826308,1.309476831,2.493286368,1.74391275,1.546281053,2.224861112,1.562757873,1.445903518,1.563001104,2.179828209,3.046009141,0.836738915,-0.395641033
601328.SH,0.550739101,0.985746356,1.598141566,2.386811725,0.805579916,1.47397667,2.067804074,2.566720034,0.908526852,1.708611698,1.7990634,2.249881269,0.401822797,0.790943195,1.603687635,1.998633007,0.268312143,0.878421557,1.259395166,1.66726088,0.586253188,1.093854409,1.399040904,1.860879197,0.255425208,0.820471798,1.095659629,1.602468591,0.360720065,-0.300152848
601333.SH,0.15289787,0.357467509,0.627894826,0.774140753,0.177743677,0.436421649,0.737659483,0.829796771,0.092097688,0.270610938,0.449473967,0.546982641,0.093289446,0.29172406,0.453524745,0.515487874,-0.026661266,0.080814959,0.241391862,0.190372995,0.071310502,0.14422049,0.357618255,0.409152967,0.086449898,0.245127812,0.432601169,0.405718861,0.04294521,-0.041642342
601336.SH,-0.105390914,-0.119141732,-0.122645924,5.888384297,-0.110087501,8.124849224,0.050602421,0.622447323,2.0793347,-0.006094398,3.226585149,1.050103037,0.393874912,0.881271335,1.268246086,1.702393661,1.790782519,1.470512266,2.085610303,1.2914479,1.169078168,1.817025683,2.472038981,1.951192435,0.655294685,1.057029818,1.255319045,1.146241066,0.43026517,-0.293951382
601339.SH,-0.105390914,-0.119141732,-0.122645924,5.654648146,-0.110087501,4.01035753,-0.100408859,4.027159863,-0.086696076,0.588552691,0.865956104,0.567151386,0.248642425,0.662746755,0.97577068,1.068513543,0.355013939,0.545821549,0.787215624,0.878332881,0.263610723,0.48888411,0.48229506,0.554837435,0.203787946,0.572166166,0.786706962,1.156434982,0.17158521,0.768566612
601366.SH,-0.105390914,-0.119141732,-0.122645924,-0.136658674,-0.110087501,-0.118764937,-0.121988831,3.400821706,-0.106935246,-0.073580387,-0.084182089,2.475475403,-0.115518379,-0.108849897,-0.098550675,2.243068349,-0.071437535,-0.088549155,-0.072648144,1.877192936,-0.123277203,-0.083829899,-0.105607686,1.771650527,-0.122980703,1.075120836,-0.159060986,1.708080273,0.553882538,0.857917434
601368.SH,-0.105390914,-0.119141732,-0.122645924,2.290633474,-0.110087501,1.104666262,-0.121988831,1.784740573,-0.106935246,-0.220367015,-0.084182089,1.977693099,-0.11435518,-0.108849897,-0.097427695,1.966167834,0.648112117,0.07198368,0.028987461,2.013029153,0.426771021,1.142602983,1.326879948,1.321770506,0.260620439,0.413422121,0.896852356,1.282323485,0.221652002,-0.084104394
601369.SH,1.110371894,1.488890452,2.188448106,2.129342307,0.432359086,1.073774935,1.764698303,2.050773359,0.687977589,1.465748052,2.124912332,2.368976374,0.466759914,1.280059011,1.673856363,1.967910323,0.132182823,0.365438022,0.544428147,1.045171971,0.157976247,0.354494408,0.549585886,0.633916633,0.195926142,0.30363795,0.326559043,0.396745463,0.022785908,-0.037001218
601375.SH,-0.105390914,-0.029133346,-0.122645924,-0.271418963,-0.110087501,-0.130233111,-0.121988831,0.075866147,-0.106935246,-0.064362269,-0.084182089,0.556437824,-0.115518379,-0.142434026,-0.101031277,0.667717943,-0.071437535,-0.051150032,1.193464778,1.479496503,-0.123277203,0.311220396,-0.282475411,2.439869157,-0.116721146,0.151021072,-0.159060986,0.938353079,-0.032051032,-0.045362795
601377.SH,-0.105390914,0.904836622,1.413986228,1.279886141,-0.081920493,-0.129990481,0.26971248,0.309267972,0.805701038,0.944691734,1.1113334,0.727203371,0.214969699,0.486288424,0.494947905,0.531485668,0.089352347,0.63639319,1.154521529,1.755617386,0.983787425,2.85548171,3.090911694,3.148465766,0.03924417,-0.016946132,0.383063398,0.360649079,0.169843,0.035856322
601388.SH,-0.105390914,-0.119141732,-0.122645924,6.982198313,-0.110087501,2.701053528,-0.056389878,4.531501174,-0.041901305,1.349090389,1.764246591,1.044298667,0.193443436,0.327976154,0.361847112,0.381930607,0.247429409,0.104979639,0.181394372,0.117072811,0.068621114,0.165293264,0.015539744,-0.025799975,-0.240200631,-0.222675195,-0.172153356,0.007506297,0.550458845,0.031242564
601390.SH,0.375182773,0.57770458,1.070993364,1.390601853,0.228691533,0.284129734,0.517115721,1.080337548,-0.009302299,0.354450548,0.760066875,1.164620685,0.260628249,0.610436684,1.05319239,1.460662468,0.234288323,0.534936425,0.950882549,1.376847588,0.195376878,0.425469757,0.775894638,1.30512565,0.184326216,0.556414388,0.945155078,1.219707354,0.108945456,-0.059516814
